Inserting 10000000 vehicles into Elastic
Inserting 10000000 vehicles into ClickHouse
goos: darwin
goarch: arm64
pkg: github.com/KevinJoiner/vss-translator/cmd/esVSch
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=Elastic                                  	       4	 283689958 ns/op	160159848 B/op	  620592 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny10000Vehicles/DB=Elastic                                  	       4	 282656427 ns/op	160159886 B/op	  620594 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject10000Vehicles/DB=ClickHouse                           	      33	  34319754 ns/op	18052388 B/op	  210919 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject10000Vehicles/DB=ClickHouse                           	      33	  34288383 ns/op	18052998 B/op	  210919 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject10000Vehicles/DB=ClickHouse                           	      32	  34486086 ns/op	18059873 B/op	  210919 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject10000Vehicles/DB=ClickHouse                           	      34	  34509429 ns/op	18044960 B/op	  210919 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject10000Vehicles/DB=ClickHouse                           	      33	  34446067 ns/op	18047427 B/op	  210919 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject10000Vehicles/DB=ClickHouse                           	      32	  34956652 ns/op	18060684 B/op	  210919 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject10000Vehicles/DB=ClickHouse                           	      33	  34982817 ns/op	18053060 B/op	  210919 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject10000Vehicles/DB=ClickHouse                           	      34	  34664339 ns/op	18054685 B/op	  210919 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject10000Vehicles/DB=Elastic                              	       3	 400380653 ns/op	160162896 B/op	  620600 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject10000Vehicles/DB=Elastic                              	       3	 397260306 ns/op	160162864 B/op	  620598 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject10000Vehicles/DB=Elastic                              	       3	 392163750 ns/op	160162880 B/op	  620599 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject10000Vehicles/DB=Elastic                              	       3	 399524681 ns/op	160160133 B/op	  620598 allocs/op
